first_name,last_name,age,phone_number,set_id,number,theme,subtheme,year,name,pieces,us_price,image_url,quantity
Kimberly,Beckstead,24,216-555-2549,24701,76062,DC Comics Super Heroes,Mighty Micros,2018,Robin vs. Bane,77,9.99,http://images.brickset.com/sets/images/76062-1.jpg,1
Neel,Garvin,35,819-555-3189,25626,70595,Ninjago,Rise of the Villains,2018,Ultra Stealth Raider,1093,119.99,http://images.brickset.com/sets/images/70595-1.jpg,1
Neel,Garvin,35,819-555-3189,24665,21031,Architecture,,2018,Burj Khalifa,333,39.99,http://images.brickset.com/sets/images/21031-1.jpg,1
Chelsea,Bouchard,41,NA,24695,31048,Creator,,2018,Lakeside Lodge,368,29.99,http://images.brickset.com/sets/images/31048-1.jpg,1
Chelsea,Bouchard,41,NA,25626,70595,Ninjago,Rise of the Villains,2018,Ultra Stealth Raider,1093,119.99,http://images.brickset.com/sets/images/70595-1.jpg,1
Chelsea,Bouchard,41,NA,24721,10831,Duplo,,2018,My First Caterpillar,19,9.99,http://images.brickset.com/sets/images/10831-1.jpg,1
Bryanna,Welsh,19,NA,24797,75138,Star Wars,Episode V,2018,Hoth Attack,233,24.99,http://images.brickset.com/sets/images/75138-1.jpg,1
Bryanna,Welsh,19,NA,24701,76062,DC Comics Super Heroes,Mighty Micros,2018,Robin vs. Bane,77,9.99,http://images.brickset.com/sets/images/76062-1.jpg,3
Caleb,Garcia-Wideman,37,907-555-9236,24730,41115,Friends,,2018,Emma's Creative Workshop,108,9.99,http://images.brickset.com/sets/images/41115-1.jpg,1
Caleb,Garcia-Wideman,37,907-555-9236,25611,21127,Minecraft,Minifig-scale,2018,The Fortress,NA,109.99,http://images.brickset.com/sets/images/21127-1.jpg,2
Chase,Fortenberry,19,205-555-3704,24707,10801,Duplo,,2018,Baby Animals,13,9.99,http://images.brickset.com/sets/images/10801-1.jpg,1
Chase,Fortenberry,19,205-555-3704,24713,10809,Duplo,,2018,Police Patrol,15,14.99,http://images.brickset.com/sets/images/10809-1.jpg,1
Kevin,Cruz,20,947-555-7946,24767,70335,Nexo Knights,Ultimate,2018,Ultimate Lavaria,69,9.99,http://images.brickset.com/sets/images/70335-1.jpg,2
Connor,Brown,36,516-555-4310,24548,71230,Dimensions,Fun Pack,2018,Fun Pack: Doc Brown,69,14.99,http://images.brickset.com/sets/images/71230-1.jpg,1
Connor,Brown,36,516-555-4310,24913,60112,City,Fire,2018,Fire Engine,376,49.99,http://images.brickset.com/sets/images/60112-1.jpg,1
Connor,Brown,36,516-555-4310,26034,41573,Mixels,Series 9,2018,Sweepz,61,4.99,,1
Toni,Borison,40,284-555-4560,25626,70595,Ninjago,Rise of the Villains,2018,Ultra Stealth Raider,1093,119.99,http://images.brickset.com/sets/images/70595-1.jpg,1
Toni,Borison,40,284-555-4560,24994,10251,Advanced Models,Modular Buildings,2018,Brick Bank,2380,169.99,http://images.brickset.com/sets/images/10251-1.jpg,1
Daniel,Hurst,44,251-555-0845,24903,41558,Mixels,Series 7,2018,Mixadel,63,4.99,http://images.brickset.com/sets/images/41558-1.jpg,1
Daniel,Hurst,44,251-555-0845,24695,31048,Creator,,2018,Lakeside Lodge,368,29.99,http://images.brickset.com/sets/images/31048-1.jpg,1
Judith,Webb,39,917-555-7417,26058,5005059,Gear,Video Games/PS3,2018,Marvel Avengers PS3 Video Game,NA,49.99,http://images.brickset.com/sets/images/5005059-1.jpg,2
Nicholas,Belfageoua,46,606-555-4814,25881,853549,Gear,Key Chains/Friends,2018,Mia Key Chain,NA,5.99,http://images.brickset.com/sets/images/853549-1.jpg,1
Nicholas,Belfageoua,46,606-555-4814,25642,70327,Nexo Knights,,2018,The King's Mech,375,29.99,http://images.brickset.com/sets/images/70327-1.jpg,1
Amanda,Tronnier,45,317-555-7477,24959,75139,Star Wars,The Force Awakens,2018,Battle on Takodana,409,59.99,http://images.brickset.com/sets/images/75139-1.jpg,1
Amanda,Tronnier,45,317-555-7477,25887,853543,Ninjago,,2018,Ninjago Party Set,70,7.99,http://images.brickset.com/sets/images/853543-1.jpg,2
Amanda,Tronnier,45,317-555-7477,24685,60118,City,Traffic,2018,Garbage Truck,248,19.99,http://images.brickset.com/sets/images/60118-1.jpg,1
Amanda,Tronnier,45,317-555-7477,25901,5004612,Gear,Watches/Clocks,2018,Lucy Wyldstyle Minifigure Link Watch,NA,24.99,http://images.brickset.com/sets/images/5004612-1.jpg,1
Jacob,Nzabanita,31,339-555-2572,24732,41117,Friends,Pop Star,2018,Pop Star TV Studio,194,19.99,http://images.brickset.com/sets/images/41117-1.jpg,1
Jacob,Nzabanita,31,339-555-2572,24793,75133,Star Wars,Battlefront,2018,Rebel Alliance Battle Pack,101,12.99,http://images.brickset.com/sets/images/75133-1.jpg,2
Jacob,Nzabanita,31,339-555-2572,24723,41172,Elves,,2018,The Water Dragon Adventure,212,19.99,http://images.brickset.com/sets/images/41172-1.jpg,1
Jacob,Nzabanita,31,339-555-2572,25920,75151,Star Wars,Episode III,2018,Clone Turbo Tank,903,109.99,http://images.brickset.com/sets/images/75151-1.jpg,1
Hannah,Drews Stunkel,55,339-555-6320,25628,70590,Ninjago,,2018,Airjitzu Battle Grounds,666,59.99,,1
Hannah,Drews Stunkel,55,339-555-6320,25624,70593,Ninjago,Skybound,2018,The Green NRG Dragon,567,49.99,http://images.brickset.com/sets/images/70593-1.jpg,3
Hannah,Drews Stunkel,55,339-555-6320,24734,41119,Friends,,2018,Heartlake Cupcake Cafe,439,39.99,http://images.brickset.com/sets/images/41119-1.jpg,1
Erik,Brownrigg,44,NA,25621,70589,Ninjago,Rise of the Villains,2018,Rock Roader,406,39.99,http://images.brickset.com/sets/images/70589-1.jpg,1
Jackson,Martinez,43,250-555-1732,24669,71304,Bionicle,Companions,2018,Terak - Creature of Earth,74,9.99,http://images.brickset.com/sets/images/71304-1.jpg,1
Jackson,Martinez,43,250-555-1732,24904,41559,Mixels,Series 7,2018,Paladum,64,4.99,http://images.brickset.com/sets/images/41559-1.jpg,2
Jackson,Martinez,43,250-555-1732,24665,21031,Architecture,,2018,Burj Khalifa,333,39.99,http://images.brickset.com/sets/images/21031-1.jpg,3
Riley,Ott,51,517-555-2093,24785,75126,Star Wars,MicroFighters,2018,First Order Snowspeeder,91,9.99,http://images.brickset.com/sets/images/75126-1.jpg,2
Riley,Ott,51,517-555-2093,24772,70604,Ninjago,Skybound,2018,Tiger Widow Island,450,49.99,http://images.brickset.com/sets/images/70604-1.jpg,1
Hector,Collins,20,340-555-2508,24781,75116,Star Wars,Buildable Figures,2018,Finn,98,24.99,http://images.brickset.com/sets/images/75116-1.jpg,1
Hector,Collins,20,340-555-2508,24723,41172,Elves,,2018,The Water Dragon Adventure,212,19.99,http://images.brickset.com/sets/images/41172-1.jpg,1
Hector,Collins,20,340-555-2508,24627,75098,Star Wars,Ultimate Collector Series,2018,Assault on Hoth,2144,249.99,http://images.brickset.com/sets/images/75098-1.jpg,1
Mckenzie,Cherry,37,336-555-9269,25878,853505,Gear,Role-Play toys,2018,NK Sword Standard,NA,9.99,http://images.brickset.com/sets/images/853505-1.jpg,1
Michelle,Uguccioni,17,NA,24756,70310,Nexo Knights,,2018,Knighton Battle Blaster,76,9.99,http://images.brickset.com/sets/images/70310-1.jpg,1
Michelle,Uguccioni,17,NA,24896,31046,Creator,,2018,Fast Car,222,19.99,http://images.brickset.com/sets/images/31046-1.jpg,1
Rebecca,Duval,48,908-555-4029,24899,41114,Friends,Party,2018,Party Styling,54,4.99,http://images.brickset.com/sets/images/41114-1.jpg,2
Rebecca,Duval,48,908-555-4029,26034,41573,Mixels,Series 9,2018,Sweepz,61,4.99,,1
Rebecca,Duval,48,908-555-4029,24664,21028,Architecture,Skylines,2018,New York City,598,59.99,http://images.brickset.com/sets/images/21028-1.jpg,2
Katherine,Hogue,27,289-555-4928,25876,853555,Gear,Stationery,2018,Campsite Scrapbook,NA,14.99,http://images.brickset.com/sets/images/853555-1.jpg,2
Katherine,Hogue,27,289-555-4928,25660,75822,The Angry Birds Movie,,2018,Piggy Plane Attack,168,19.99,http://images.brickset.com/sets/images/75822-1.jpg,1
Adoria,Hammond,40,712-555-6781,24720,10830,Duplo,,2018,Minnie's Café,27,19.99,http://images.brickset.com/sets/images/10830-1.jpg,1
Amanda,Musick,24,878-555-7113,25916,76054,DC Comics Super Heroes,Batman,2018,Batman: Scarecrow Harvest of Fear,563,59.99,http://images.brickset.com/sets/images/76054-1.jpg,2
Cecilia,Mauro,50,NA,25921,75157,Star Wars,Rebels,2018,Captain Rex's AT-TE,972,119.99,http://images.brickset.com/sets/images/75157-1.jpg,3
Shina,Hegarty,22,868-555-1868,24737,41135,Friends,Pop Star,2018,Livi's Pop Star House,597,49.99,http://images.brickset.com/sets/images/41135-1.jpg,3
Shina,Hegarty,22,868-555-1868,24706,41142,Disney Princess,Palace Pets,2018,Palace Pets Royal Castle,186,19.99,http://images.brickset.com/sets/images/41142-1.jpg,3
Shina,Hegarty,22,868-555-1868,24664,21028,Architecture,Skylines,2018,New York City,598,59.99,http://images.brickset.com/sets/images/21028-1.jpg,1
Anthony,Kiyotake,22,980-555-0099,25007,41568,Mixels,Series 8,2018,Lewt,62,4.99,http://images.brickset.com/sets/images/41568-1.jpg,1
Anthony,Kiyotake,22,980-555-0099,25883,853568,Gear,Key Chains/City,2018,Prison Guard Key Chain,NA,5.99,http://images.brickset.com/sets/images/853568-1.jpg,1
Connor,Fourzan,32,805-555-3065,25886,853519,Gear,Playmats,2018,NK Playmat,NA,14.99,http://images.brickset.com/sets/images/853519-1.jpg,1
Connor,Fourzan,32,805-555-3065,24789,75130,Star Wars,MicroFighters,2018,AT-DP,76,9.99,http://images.brickset.com/sets/images/75130-1.jpg,1
